iter,best,mean
1,20329.538677009936,23159.012643747126
2,20329.538677009936,20852.67035753844
3,20329.538677009936,20329.538677009932
4,20329.538677009936,20329.538677009932
5,20329.538677009936,20329.538677009932
6,20329.538677009936,20329.538677009932
7,20329.538677009936,20329.538677009932
8,20329.538677009936,20329.538677009932
9,20329.538677009936,20329.538677009932
10,20329.538677009936,20329.538677009932
11,20329.538677009936,20329.538677009932
12,20329.538677009936,20329.538677009932
13,20329.538677009936,20329.538677009932
14,20329.538677009936,20329.538677009932
15,20329.538677009936,20329.538677009932
16,20329.538677009936,20329.538677009932
17,20329.538677009936,20329.538677009932
