iter,best,mean
0,14118.135143132335,20836.26907648651
1,14118.135143132335,16081.69136433685
2,14118.135143132335,14644.01607082307
3,14118.135143132335,14185.744940473143
4,14118.135143132335,14118.135143132331
5,14118.135143132335,14118.135143132331
6,14118.135143132335,14118.135143132331
7,14118.135143132335,14118.135143132331
8,14118.135143132335,14118.135143132331
9,14118.135143132335,14118.135143132331
10,14118.135143132335,14118.135143132331
11,14118.135143132335,14118.135143132331
12,14118.135143132335,14118.135143132331
13,14118.135143132335,14118.135143132331
14,14118.135143132335,14118.135143132331
15,14118.135143132335,14118.135143132331
16,14118.135143132335,14118.135143132331
17,14118.135143132335,14118.135143132331
18,14118.135143132335,14118.135143132331
19,14118.135143132335,14118.135143132331
20,14118.135143132335,14118.135143132331
21,14118.135143132335,14118.135143132331
22,14118.135143132335,14118.135143132331
23,14118.135143132335,14118.135143132331
24,14118.135143132335,14118.135143132331
25,14118.135143132335,14118.135143132331
26,14118.135143132335,14118.135143132331
27,14118.135143132335,14118.135143132331
28,14118.135143132335,14118.135143132331
29,14118.135143132335,14118.135143132331
30,14118.135143132335,14118.135143132331
31,14118.135143132335,14118.135143132331
32,14118.135143132335,14118.135143132331
33,14118.135143132335,14118.135143132331
34,14118.135143132335,14118.135143132331
35,14118.135143132335,14118.135143132331
36,14118.135143132335,14118.135143132331
37,14118.135143132335,14118.135143132331
38,14118.135143132335,14118.135143132331
39,14118.135143132335,14118.135143132331
40,14118.135143132335,14118.135143132331
41,14118.135143132335,14118.135143132331
42,14118.135143132335,14118.135143132331
43,14118.135143132335,14118.135143132331
44,14118.135143132335,14118.135143132331
45,14118.135143132335,14118.135143132331
46,14118.135143132335,14118.135143132331
47,14118.135143132335,14118.135143132331
48,14118.135143132335,14118.135143132331
49,14118.135143132335,14118.135143132331
50,14118.135143132335,14118.135143132331
51,14118.135143132335,14118.135143132331
52,14118.135143132335,14118.135143132331
53,14118.135143132335,14118.135143132331
54,14118.135143132335,14118.135143132331
55,14118.135143132335,14118.135143132331
56,14118.135143132335,14118.135143132331
57,14118.135143132335,14118.135143132331
58,14118.135143132335,14118.135143132331
59,14118.135143132335,14118.135143132331
60,14118.135143132335,14118.135143132331
61,14118.135143132335,14118.135143132331
62,14118.135143132335,14118.135143132331
63,14118.135143132335,14118.135143132331
64,14118.135143132335,14118.135143132331
65,14118.135143132335,14118.135143132331
66,14118.135143132335,14118.135143132331
67,14118.135143132335,14118.135143132331
68,14118.135143132335,14118.135143132331
