iter,best,mean
0,9783.996727743912,12093.34810399469
1,9783.996727743912,11061.0891522159
2,9783.996727743912,10511.649328947015
3,9783.996727743912,9783.996727743912
4,9783.996727743912,9783.996727743912
5,9783.996727743912,9783.996727743912
6,9783.996727743912,9783.996727743912
7,9783.996727743912,9783.996727743912
8,9783.996727743912,9783.996727743912
9,9783.996727743912,9783.996727743912
10,9783.996727743912,9783.996727743912
11,9783.996727743912,9783.996727743912
12,9783.996727743912,9783.996727743912
13,9783.996727743912,9783.996727743912
14,9783.996727743912,9783.996727743912
15,9783.996727743912,9783.996727743912
16,9783.996727743912,9783.996727743912
